N,Q_target,seed_id,Q_initial,Q_boundary,Q_boundary_abs_error,steps,final_delta_E,converged,alpha_c,kappa,lambda_pot,V,init_mode,E,E_cov,E_curv,E_pot,E_cov_weighted,E_curv_weighted,E_pot_weighted,rho_max,rho_mean,rho_std,num_peaks,geometry,phi_min,phi_mean,peak_coords,peak_vals,peak_dists,centers
16,1,0,1.0000000324887013,1.0000000324887013,3.248870128480519e-08,9000,4.379247861541202e-05,False,1.0,0.2,5.0,1.0,mixed,0.9055397620895236,1.2352984413155355e-07,4.527693271636963,1.968464573565143e-07,1.2352984413155355e-07,0.9055386543273927,9.842322867825715e-07,0.49999919533729553,0.0003684651164803654,0.00924059096723795,1,single-core,0.9999938011169434,1.0,"[(7, 7, 7), (7, 10, 6), (10, 7, 6), (7, 6, 10), (6, 4, 7), (6, 7, 4), (9, 9, 9), (5, 9, 9)]","[0.49999919533729553, 0.0007647673483006656, 0.0007646481390111148, 0.0007646282319910824, 0.00030885139130987227, 0.00030881166458129883, 0.00026154518127441406, 0.0002615253033582121]","[3.1622776601683795, 3.1622776601683795, 3.1622776601683795, 3.1622776601683795, 3.1622776601683795, 3.4641016151377544, 3.4641016151377544, 4.242640687119285, 5.656854249492381, 6.164414002968976, 3.7416573867739413, 3.7416573867739413, 3.7416573867739413, 5.0990195135927845, 5.0990195135927845, 4.47213595499958, 3.7416573867739413, 6.164414002968976, 3.7416573867739413, 6.164414002968976, 3.7416573867739413, 3.7416573867739413, 4.242640687119285, 6.164414002968976, 5.477225575051661, 6.164414002968976, 5.477225575051661, 4.0]","[(0.0, 0.0, 0.0)]"
16,2,7,2.000000061013851,2.000000061013851,6.101385086054734e-08,9000,0.008555614760351382,False,1.0,0.2,5.0,1.0,mixed,3.1491731063140094,1.8884733776758367e-07,15.745854377746582,4.0838347103999695e-07,1.8884733776758367e-07,3.1491708755493164,2.0419173551999847e-06,1.3362489938735962,0.0012814011424779892,0.027272837236523628,1,single-core,0.9999244213104248,0.9999999403953552,"[(7, 7, 7), (6, 10, 7), (10, 6, 7), (6, 4, 7), (4, 7, 6), (9, 10, 6), (9, 3, 7), (12, 9, 7)]","[1.3362489938735962, 0.008791486732661724, 0.008762876503169537, 0.0038539767265319824, 0.0023333628196269274, 0.0021140973549336195, 0.0010551214218139648, 0.0008896191720850766]","[3.1622776601683795, 3.1622776601683795, 3.1622776601683795, 3.1622776601683795, 3.7416573867739413, 4.47213595499958, 5.385164807134504, 5.656854249492381, 6.0, 3.7416573867739413, 3.1622776601683795, 7.615773105863909, 6.082762530298219, 4.47213595499958, 6.164414002968976, 4.242640687119285, 3.1622776601683795, 3.605551275463989, 3.7416573867739413, 6.782329983125268, 3.1622776601683795, 7.810249675906654, 5.830951894845301, 6.48074069840786, 8.306623862918075, 7.0710678118654755, 3.3166247903554, 6.708203932499369]","[(0.035523023017147215, 0.2671048324380902, -0.1263737417172899), (0.07457366165781146, 0.11874998083865383, -0.12015289555493329)]"
16,3,1,3.0000001052286556,3.0000001052286556,1.0522865556694683e-07,9000,0.026704416996017777,False,1.0,0.2,5.0,1.0,mixed,4.827346545095861,4.287611773179378e-06,24.136367797851562,1.3739582755079027e-05,4.287611773179378e-06,4.827273559570313,6.869791377539514e-05,0.5868156552314758,0.001964217983186245,0.022007396444678307,1,single-core,0.999508798122406,0.9999963045120239,"[(7, 7, 7), (10, 6, 7), (6, 10, 7), (4, 6, 7), (10, 10, 7), (7, 4, 8), (3, 9, 7), (7, 13, 7)]","[0.5868156552314758, 0.03289343789219856, 0.03286798670887947, 0.015930870547890663, 0.00792551040649414, 0.006413737777620554, 0.004475196357816458, 0.0028866331558674574]","[3.1622776601683795, 3.1622776601683795, 3.1622776601683795, 4.242640687119285, 3.1622776601683795, 4.47213595499958, 6.0, 5.656854249492381, 6.0, 4.0, 3.7416573867739413, 7.615773105863909, 7.615773105863909, 4.47213595499958, 4.0, 6.164414002968976, 3.1622776601683795, 3.1622776601683795, 7.211102550927978, 3.7416573867739413, 3.1622776601683795, 7.615773105863909, 6.782329983125268, 7.0710678118654755, 4.242640687119285, 6.48074069840786, 9.055385138137417, 5.656854249492381]","[(0.29045960776602425, -0.34123571499500155, 0.1185743685069273), (0.053221013707924515, 0.3736134730411103, -0.13077392403871033), (-0.4104947575932702, -0.17170012060569992, -0.002430619574840225)]"
16,4,2,4.0000001435169805,4.0000001435169805,1.435169805219516e-07,9000,0.11004030651097274,False,1.0,0.2,5.0,1.0,mixed,7.120635160188977,2.3279376364371274e-06,35.60298156738281,7.303754955501063e-06,2.3279376364371274e-06,7.120596313476563,3.6518774777505314e-05,0.8526935577392578,0.002897373866289854,0.028505079448223114,3,triangular/three-core,0.9996768832206726,0.9999974966049194,"[(7, 6, 7), (10, 7, 7), (7, 10, 7), (4, 7, 7), (6, 3, 7), (4, 11, 7), (10, 11, 7), (11, 4, 7)]","[0.8526935577392578, 0.1913137584924698, 0.1700536608695984, 0.05135039612650871, 0.016436994075775146, 0.011834581382572651, 0.011817793361842632, 0.011799395084381104]","[3.1622776601683795, 4.0, 3.1622776601683795, 3.1622776601683795, 5.830951894845301, 5.830951894845301, 4.47213595499958, 4.242640687119285, 6.0, 5.656854249492381, 7.211102550927978, 4.0, 3.1622776601683795, 4.242640687119285, 7.0710678118654755, 3.1622776601683795, 3.1622776601683795, 7.211102550927978, 4.47213595499958, 4.0, 7.211102550927978, 7.615773105863909, 8.246211251235321, 8.94427190999916, 5.0990195135927845, 6.0, 9.899494936611665, 7.0710678118654755]","[(-0.375, -0.03628195490174634, 0.009771575970916031), (-0.125, -0.04788940106674863, -0.09590880453633588), (0.12499999999999997, 0.02658452116173138, -0.12062501595832067), (0.375, 0.04436289558735974, -0.046816437419221445)]"
16,5,6,5.000000132512447,5.000000132512447,1.325124472373318e-07,9000,0.1337037744930516,False,1.0,0.2,5.0,1.0,mixed,11.568177772290301,2.594883198980824e-06,57.840675354003906,8.021321264095604e-06,2.594883198980824e-06,11.568135070800782,4.010660632047802e-05,0.9610922336578369,0.004707088693976402,0.03877823427319527,2,double-core,0.9996715784072876,0.9999974966049194,"[(6, 8, 7), (9, 7, 7), (5, 5, 7), (7, 11, 7), (8, 4, 7), (10, 10, 7), (12, 6, 7), (3, 9, 7)]","[0.9610922336578369, 0.724095344543457, 0.11073944717645645, 0.09248729795217514, 0.07116031646728516, 0.04138628765940666, 0.0316389799118042, 0.02568562887609005]","[3.1622776601683795, 3.1622776601683795, 3.1622776601683795, 4.47213595499958, 4.47213595499958, 6.324555320336759, 3.1622776601683795, 4.47213595499958, 4.47213595499958, 3.1622776601683795, 3.1622776601683795, 3.1622776601683795, 6.324555320336759, 6.324555320336759, 3.1622776601683795, 7.0710678118654755, 7.0710678118654755, 4.47213595499958, 7.0710678118654755, 3.1622776601683795, 7.0710678118654755, 4.47213595499958, 6.324555320336759, 4.47213595499958, 7.0710678118654755, 4.47213595499958, 7.0710678118654755, 9.486832980505138]","[(-0.375, 0.03137345648285876, -0.025728121106541667), (-0.1875, 0.06661401200060942, 0.05326154708743687), (0.0, -0.042242646855280175, 0.030148375992532388), (0.1875, 0.013836213745759314, -0.07085721089942902), (0.375, -0.012304247817413799, -0.009500246375314096)]"
16,6,2,6.000000204192074,6.000000204192074,2.0419207391597638e-07,9000,0.24650898879231065,False,1.0,0.2,5.0,1.0,mixed,15.937099324264501,2.9111063213349553e-06,79.68525695800781,9.004311323224101e-06,2.9111063213349553e-06,15.937051391601564,4.5021556616120506e-05,1.1279094219207764,0.006484803277999163,0.0469883494079113,3,triangular/three-core,0.9996485114097595,0.9999973177909851,"[(6, 6, 7), (9, 8, 7), (6, 10, 7), (10, 5, 7), (3, 7, 7), (7, 3, 7), (10, 11, 7), (13, 7, 7)]","[1.1279094219207764, 0.6542370915412903, 0.27670490741729736, 0.12386482954025269, 0.07239916175603867, 0.06992268562316895, 0.04388624429702759, 0.03206080198287964]","[3.605551275463989, 4.0, 4.123105625617661, 3.1622776601683795, 3.1622776601683795, 6.4031242374328485, 7.0710678118654755, 3.605551275463989, 3.1622776601683795, 6.082762530298219, 5.385164807134504, 3.1622776601683795, 4.123105625617661, 6.4031242374328485, 4.242640687119285, 7.0710678118654755, 4.123105625617661, 7.615773105863909, 7.280109889280518, 3.605551275463989, 6.0, 3.605551275463989, 5.656854249492381, 8.06225774829855, 10.0, 8.54400374531753, 7.211102550927978, 5.0]","[(-0.375, -0.01658968047915029, 0.0265999506786706), (-0.22499999999999998, 0.020991715133806845, 0.054605305829422815), (-0.07499999999999998, -0.007853815304351, -0.047031225057134654), (0.07499999999999998, 0.023476039742330534, 0.04685142882597953), (0.22500000000000003, -0.04060286563082732, 0.062181119295034656), (0.375, -0.06114191592332345, -0.0364011134784892)]"
16,7,4,7.000000245921243,7.000000245921243,2.4592124336919596e-07,9000,0.30972606589712015,False,1.0,0.2,5.0,1.0,mixed,19.67125824040377,1.5785344658070244e-05,98.35490417480469,5.23240196343977e-05,1.5785344658070244e-05,19.67098083496094,0.0002616200981719885,1.3236757516860962,0.008004158735275269,0.05203207582235336,3,triangular/three-core,0.9994075298309326,0.99998939037323,"[(6, 6, 7), (7, 10, 7), (10, 7, 7), (4, 9, 7), (9, 4, 7), (3, 5, 7), (10, 11, 7), (6, 2, 7)]","[1.3236757516860962, 0.7242412567138672, 0.7178505063056946, 0.16880188882350922, 0.1643504947423935, 0.08495680242776871, 0.072548508644104, 0.05454683303833008]","[4.123105625617661, 4.123105625617661, 3.605551275463989, 3.605551275463989, 3.1622776601683795, 6.4031242374328485, 4.0, 4.242640687119285, 3.1622776601683795, 6.324555320336759, 6.4031242374328485, 3.1622776601683795, 8.06225774829855, 6.324555320336759, 3.1622776601683795, 7.280109889280518, 4.0, 6.4031242374328485, 7.0710678118654755, 4.123105625617661, 6.324555320336759, 7.280109889280518, 6.082762530298219, 7.0710678118654755, 3.605551275463989, 9.219544457292887, 4.242640687119285, 9.848857801796104]","[(-0.11886510460092413, -0.4028288556052202, 0.0), (0.24083310084318144, -0.34409216430813705, 0.0), (0.4191790692524033, -0.02624705508602614, 0.0), (0.28187464881983715, 0.3113626219582137, 0.0), (-0.06768713136904256, 0.41450989402791094, 0.0), (-0.36627912107117794, 0.20552276143368, 0.0), (-0.3890554618742771, -0.1582272024204211, 0.0)]"
16,8,0,8.000000334148865,8.000000334148865,3.341488650221436e-07,9000,0.42347578735316205,False,1.0,0.2,5.0,1.0,mixed,23.44813944132111,2.155400943593122e-05,117.23881530761719,7.09651576471515e-05,2.155400943593122e-05,23.44776306152344,0.0003548257882357575,1.1439193487167358,0.009540907107293606,0.05559087544679642,6,6-core/extended,0.9993689656257629,0.9999871253967285,"[(6, 6, 7), (8, 9, 7), (10, 6, 7), (5, 10, 7), (7, 3, 7), (3, 7, 7), (11, 10, 7), (7, 13, 7)]","[1.1439193487167358, 0.6128190159797668, 0.5767930746078491, 0.2999502718448639, 0.21172785758972168, 0.2117275595664978, 0.10880794376134872, 0.08758898824453354]","[3.605551275463989, 4.0, 4.123105625617661, 3.1622776601683795, 3.1622776601683795, 6.4031242374328485, 7.0710678118654755, 3.605551275463989, 3.1622776601683795, 6.082762530298219, 5.385164807134504, 3.1622776601683795, 4.123105625617661, 6.4031242374328485, 4.242640687119285, 7.0710678118654755, 4.123105625617661, 7.615773105863909, 7.280109889280518, 3.605551275463989, 6.0, 3.605551275463989, 5.656854249492381, 8.06225774829855, 10.0, 8.54400374531753, 7.211102550927978, 5.0]","[(0.012479055922350308, 0.4198145699749913, 0.0), (-0.2880297042047307, 0.3056777543357307, 0.0), (-0.4198145699749913, 0.012479055922350242, 0.0), (-0.3056777543357307, -0.2880297042047307, 0.0), (-0.012479055922350267, -0.4198145699749913, 0.0), (0.2880297042047307, -0.30567775433573074, 0.0), (0.4198145699749913, -0.012479055922350293, 0.0), (0.30567775433573074, 0.2880297042047306, 0.0)]"
16,9,7,9.000000356134233,9.000000356134233,3.5613423321478876e-07,9000,0.4977146127668668,False,1.0,0.2,5.0,1.0,mixed,28.75320363574647,1.4168312191031873e-05,143.76483154296875,4.463176810531877e-05,1.4168312191031873e-05,28.752966308593752,0.00022315884052659385,0.9685161709785461,0.01169959083199501,0.06283347308635712,6,6-core/extended,0.9989250302314758,0.9999922513961792,"[(6, 5, 7), (10, 6, 7), (6, 10, 7), (9, 9, 7), (3, 7, 7), (9, 3, 7), (13, 7, 7), (7, 13, 7)]","[0.9685161709785461, 0.8332946300506592, 0.8221564888954163, 0.5133935809135437, 0.3082998991012573, 0.17459546029567719, 0.13133402168750763, 0.13110844790935516]","[4.123105625617661, 5.0, 5.0, 3.605551275463989, 3.605551275463989, 7.280109889280518, 8.06225774829855, 5.656854249492381, 3.1622776601683795, 7.0710678118654755, 3.1622776601683795, 3.1622776601683795, 7.615773105863909, 3.1622776601683795, 4.242640687119285, 7.615773105863909, 7.615773105863909, 3.1622776601683795, 6.324555320336759, 6.0, 4.47213595499958, 4.47213595499958, 7.211102550927978, 10.0, 7.211102550927978, 5.656854249492381, 10.198039027185569, 8.48528137423857]","[(-0.08437014681432722, 0.20146683889219089, 0.053785582317940235), (-0.2625754573528748, 0.14666528452782993, -0.17023228081202518), (0.04563229210101031, 0.1839207320764441, 0.06679335474799616), (-0.34197996627030885, 0.46050998066756155, -0.201175502858909), (0.10510420840732337, 0.041872963617332136, 0.14059642457543714), (-0.37103489539911083, -0.369896246026901, -0.12635945218827097), (0.27463399379677655, 0.023405132853816492, -0.11265974686961629), (-0.07259208132277113, 0.036297803588126856, 0.056875413468903846), (0.14467703525202985, -0.05284135279892765, 0.0709597058801262)]"
16,10,2,10.000000281583567,10.000000281583567,2.8158356712992827e-07,9000,0.6829715311507272,False,1.0,0.2,5.0,1.0,mixed,32.64406666429331,4.677906872530002e-06,163.21994018554688,1.4789855413255282e-05,4.677906872530002e-06,32.643988037109374,7.394927706627641e-05,1.0756336450576782,0.013282845728099346,0.06726020574569702,7,7-core/extended,0.9995717406272888,0.9999961853027344,"[(6, 5, 7), (6, 10, 7), (11, 6, 7), (9, 9, 7), (3, 6, 7), (9, 3, 7), (7, 13, 7), (5, 2, 7)]","[1.0756336450576782, 0.7903947830200195, 0.6995159983634949, 0.674788773059845, 0.40398821234703064, 0.2431405931711197, 0.19134698808193207, 0.14889883995056152]","[5.0, 5.0990195135927845, 5.0, 3.1622776601683795, 3.605551275463989, 8.06225774829855, 3.1622776601683795, 6.4031242374328485, 3.1622776601683795, 5.0, 7.615773105863909, 3.1622776601683795, 8.06225774829855, 3.605551275463989, 8.0, 3.605551275463989, 8.06225774829855, 7.211102550927978, 6.708203932499369, 6.0, 4.47213595499958, 8.06225774829855, 6.708203932499369, 8.06225774829855, 4.47213595499958, 10.198039027185569, 4.123105625617661, 11.180339887498949]","[(-0.375, 0.005093130510416325, -8.401376702770868e-06), (-0.2916666666666667, -0.02580295585150314, 0.0027295735053956046), (-0.20833333333333334, -0.0070790698607887, 0.007596107666323937), (-0.125, -0.052903886455364875, -0.0002772015047801538), (-0.041666666666666685, -0.012781239335775595, 0.05004696500143837), (0.041666666666666685, -0.009586297361344722, -0.0051287911023316255), (0.12499999999999997, 0.022428077609388763, 0.048908092533407325), (0.20833333333333334, 0.002874391051309433, -0.0023920030116966686), (0.29166666666666663, 0.027303851744007457, -0.05393396497708376), (0.375, 0.0022591711904424525, 0.07524876698629798)]"
